origin	region	variety
Brazylia		
Etiopia	Yirgacheffe	Heirloom
Kenia	Nyeri	Sl28, Sl34, Ruiru 11, Batian
Kolumbia	Huila	Pink Bourbon
Brazylia	Campo das Vertentes	Catuai, Mundo Novo, Topazio
Brazylia	Campo das Vertentes	Yellow Catucai
Gwatemala	Huehuetenango / jakiś pros	caturra, typica / coś fajnego
Gwatemala	Huehuetenango	Caturra, Typica
Gwatemala	Huehuetenango	Caturra, Typica
Honduras	Santa Barbara	Bourbon
Honduras	Santa Barbara	Bourbon
Kenia	Nyeri	mixed Kenyan cultivars
Kenia	Nyeri	mixed Kenyan cultivars
honey	-	blend
Etiopia	Bombe, Bensa, Sidama	Krume 74158
Gwatemala	Jalapa department	Pacamara
Kenia	Embu	Sl28, Sl34, Ruiru 11, Batian (AB)
Panama	Palmira, Boquete, Chiriquí	Catuai
Brazylia	Mogiana,Cajamarca	Catuai 99, Catuai 62, Catuacai 2Sl, Paraiso,Local Heirloom
Etiopia	Uraga,East Guji	Kurume
Kenia	Kirinyaga	Sl34, SL28,Batian, Ruiru 11
Kolumbia	Antikoquia	Tabi
Kostaryka	Tarrazu	Catuai
Brazylia	São Paulo, Mococa	Obatã
Brazylia	São Paulo, Mococa	Obatã
Brazylia		
Etiopia		
Rwanda		
Rwanda		
Brazylia	Cerrado Mineiro	-
washed	-	-
Etiopia		
Kenia	Kirinyaga	proces
Kolumbia		
Kostaryka	Central Valley	proces
washed		
Kolumbia	-	Caturra, Sl28, Geisha, Pink Bourbon
Etiopia		
Etiopia	Arbegona	Heirloom
Etiopia	Sidama Bensa	Local Landraces
Kolumbia	Tolima	Caturra
Kolumbia	Bruselas	Pink Bourbon
Kolumbia	Huila	Caturra
Rwanda	Nyamasheke	Bourbon
Brazylia	Carmo de Minas	Yellow Bourbon
Brazylia	Carmo de Minas	Yellow Bourbon
Etiopia	Guji	JARC,Heirloom
Brazylia	Mantiqeuria,	-
Brazylia	Mantiqeuria,	-
Kenia	Kirinyaga	Sl28 & Sl34,Ruiru 11
Kolumbia	Santa Barbara, Palestina, Huila	Pink Bourbon, Caturra
Etiopia	Yirgacheffe	Heirloom
Kenia	Kirinyaga	Sl28, Sl34
Kenia	Nzoia County	Sl28, Sl34
Peru	-	-
espressoekspres / kawiarka	-	-
Rwanda	Northern Province	Red Bourbon
Tanzania	Ngorongoro Crater	Kent
Etiopia	Sidamo	Heirloom
Kolumbia	Valle del Cauca	Sudan Rume
Salwador	Santa Ana	Sl28
Ekwador	San José de Minas, Pichincha	Typica
Etiopia	Oromia	Heirloom
Brazylia	Minas Gerais	pulped natural,yellow bourbon
Brazylia	Minas Gerais	pulped natural,yellow bourbon
Brazylia	Minas Gerais	pulped natural,yellow bourbon
Brazylia	-	-
Rwanda	Nyamasheke	Red Bourbon
Brazylia	Mogiana,Cajamarca	Catuai 99, Catuai 62, Catuacai 2Sl, Paraiso,Local Heirloom
espressoekspres / kawiarka		
espressoekspres / kawiarka		
Etiopia		
		
		
Brazylia	Cerrado Mineiro	-
Brazylia	Cerrado Mineiro	-
Brazylia	Cerrado Mineiro	proces
Washed		
Washed		
Peru	Cajamarca	Mundo Novo, Catuai
Salwador	Centralny	-
honey		
Sumatra	Kerinci Valley, West Sumatra	proces
Brazylia	Minas Gerais	Yellow Catuai
Etiopia		
Kenia	Hrabstwo Murang'a	Sl28 & Sl34
Kolumbia	Risaralda	Castillo
Kolumbia	Risaralda	Caturra
Kolumbia	Cauca	Castillo
Kolumbia	Bruselas	Pink Bourbon
Kostaryka	Tarrazu	Red Catuai
Kostaryka	Cartago	Marsellesa & Red Obata
Rwanda	Nyamasheke	Bourbon
Rwanda	Nyamasheke	Bourbon
Etiopia	Dalle, Sidamo	74410, 74112
Nikaragua	Lipululu in Jinotega	Java (Longberry)
Salwador	El Pasti in the Santa Ana	Red Bourbon
Salwador	Ahuachapán, Santa Ana	Yellow Caturra
Etiopia	Oromia	Heirloom
Gwatemala	Fraijanes	Catuai
Salwador		
Salwador		
washed		
washed		
Kenia	Kiambu County	Ruiru 11, Sl28, Sl34
Salwador	Los Naranjos Valley, Sonsonate	Red Bourbon
Brazylia	-	-
Kolumbia	Tolima	-
Meksyk	Chiapas	Caturra, Geisha
Brazylia	-	-
przelew		
przelew		
Kolumbia		
DAK Rwanda The Alchemist filtr 250 g kawa ziarnista		
Brazylia	Alta Mogiana	Catuai
Kenia	Thika	Sl28
Kostaryka	Tarrazu	Catuai
		
Indonezja	Mount Suket, Ijen, East Java	Laurina
Kolumbia	Cauca	Chiroso
Kolumbia	Huila	Ombligon
Kolumbia	Amalfi, Antioquia	Rosado (aka Pink Bourbon aka Colombia Rosado)
Brazylia	Minas Gerais	pulped natural,yellow bourbon
Indie	-	-
Indonezja	Weninggalih	Ateng Super
Kolumbia	Nariño	
Brazylia	-	Caturra,
Gwatemala	departament Huehuetanango	H1
Etiopia		
Kenia	Kieni, Nyeri	Sl28, Sl34, Ruiru11
Etiopia	Sidamo	
Etiopia		
honey		
washed	-	
pulped natural	-	-
Brazylia	Mogiana	proces
Brazylia	-	mix
Etiopia	-	Heirloom, Jarc
Brazylia	Guji	proces
Brazylia		
Brazylia		
Indonezja	Aceh, Sumatra	Ateng, Bor Bor, Catimor, Timor
Uganda	Bukyabo, Sironko District	Nyasaland, Sl14, Sl28
espresso	-	-
espresso	-	-
Etiopia		
Etiopia		
Gwatemala	Huehuetenango	Caturra, Catuai, Bourbon
Kolumbia	Cauca	-
Kostaryka	Central Valley	Sl28
Etiopia,		
Rwanda	Western Province	Red Bourbon
Brazylia	-	-
Brazylia	-	-
Etiopia	Guji, Yirgacheffe	-
Rwanda		
Rwanda		
Rwanda	-	-
Kolumbia	-	-
Kostaryka	-	-
espresso		
Kolumbia	Palestina, Huila	Rosado(a.k.a. Pink Bourbon,a.k.a. Colombia Rosado)
Brazylia		
Kostaryka	mikroregion Chirripo	Villa Sarchi
		
Etiopia	Murago, Sidama	74-158 Kurume
Gwatemala	Huehuetenango	Bourbon, Caturra, Catuai
Kolumbia	Tolima	Colombia, Caturra
Meksyk	Chiapas	Ana Café 14, Gesha
Meksyk	Chiapas	Typica, Boubon, Pacas, Ana Café 14
Etiopia	Gedeb Banko Gotiti	Heirloom
Salwador	Centralny	-
washed	-	
