url	name	description	Stature	Leaf tip color	Bean Size	Yield Potential	Quality potential at high altitude	Optimal Altitude	Coffee leaf rust	Nematode	Coffee Berry Disease
https://varieties.worldcoffeeresearch.org/varieties/bourbon-mayaguez-71	Bourbon Mayaguez 71	Unknown	Tall	Bronze	Large	Medium	Good	Medium, High	Susceptible	Unknown	Susceptible
https://varieties.worldcoffeeresearch.org/varieties/nemaya	Nemaya (Coffea canephora)	Unknown	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Resistant	Unknown
https://varieties.worldcoffeeresearch.org/varieties/nayarita	Nayarita	Unknown	Dwarf/Compact	Dark Bronze	Large	High	Very Good	High	Susceptible	Susceptible	Tolerant
https://varieties.worldcoffeeresearch.org/varieties/costa-rica-95	Costa Rica 95	Unknown	Dwarf/Compact	Bronze	Average	High	Low	Low, Medium	Susceptible	Susceptible	Susceptible
https://varieties.worldcoffeeresearch.org/varieties/ihcafe-90	IHCAFE 90	Unknown	Dwarf/Compact	Dark Bronze	Average	High	Very Low	Low, Medium	Susceptible	Susceptible	Susceptible
https://varieties.worldcoffeeresearch.org/varieties/sl14	SL14	Unknown	Tall	Light Bronze	Average	High	Good	Medium, High	Susceptible	Susceptible	Susceptible
https://varieties.worldcoffeeresearch.org/varieties/sl34	SL34	Unknown	Tall	Dark Bronze	Large	High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
https://varieties.worldcoffeeresearch.org/varieties/pacas	Pacas	Unknown	Dwarf/Compact	Green	Average	Good	Good	High	Susceptible	Susceptible	Susceptible
https://varieties.worldcoffeeresearch.org/varieties/parainema	Parainema	Unknown	Dwarf/Compact	Green	Large	Good	Good	Low, Medium	Resistant	Resistant	Tolerant
https://varieties.worldcoffeeresearch.org/varieties/starmaya	Starmaya	Unknown	Dwarf/Compact	Green	Large	High	Very Good	Medium	Resistant	Unknown	Unknown
https://varieties.worldcoffeeresearch.org/varieties/typica	Typica	Unknown	Tall	Bronze	Large	Low	Very Good	High	Susceptible	Susceptible	Susceptible
https://varieties.worldcoffeeresearch.org/varieties/anacafe-14	Anacafe 14	Unknown	Dwarf/Compact	Green	Very Large	High	Good	Medium, High	Resistant	Susceptible	Susceptible
https://varieties.worldcoffeeresearch.org/varieties/nyasaland	Nyasaland	Unknown	Tall	Light Bronze	Average	Good	Good	Medium, High	Susceptible	Unknown	Susceptible
https://varieties.worldcoffeeresearch.org/varieties/iapar-59	IAPAR 59	Unknown	Dwarf/Compact	Light Bronze	Average	Good	Low	Low, Medium	Resistant	Resistant	Susceptible
https://varieties.worldcoffeeresearch.org/varieties/maragogipe	Maragogipe	Unknown	Tall	Bronze	Very Large	Low	Very Good	High	Susceptible	Susceptible	Susceptible
https://varieties.worldcoffeeresearch.org/varieties/centroamericano	Centroamericano	Unknown	Dwarf/Compact	Green	Large	Very High	Very Good	Low, Medium, High	Resistant	Susceptible	Tolerant
https://varieties.worldcoffeeresearch.org/varieties/esperanza	Esperanza	Unknown	Dwarf/Compact	Green	Large	Very High	Very Good	Low, Medium, High	Tolerant	Tolerant	Tolerant
https://varieties.worldcoffeeresearch.org/varieties/caturra	Caturra	Unknown	Dwarf/Compact	Green	Average	Good	Good	High	Susceptible	Susceptible	Susceptible
https://varieties.worldcoffeeresearch.org/varieties/batian	Batian	Unknown	Tall	Green or Bronze	Very Large	High	Very Good	Low	Tolerant	Susceptible	Resistant
https://varieties.worldcoffeeresearch.org/varieties/t5296	T5296	Unknown	Dwarf/Compact	Green	Large	Good	Good	Low, Medium	Resistant	Unknown	Tolerant
https://varieties.worldcoffeeresearch.org/varieties/k7	K7	Unknown	Tall	Light Bronze	Large	High	Good	Low, Medium	Tolerant	Susceptible	Tolerant
https://varieties.worldcoffeeresearch.org/varieties/rab-c15	RAB C15	Unknown	Tall	Green or Bronze	Large	Very High	Very Good	Medium, High	Resistant	Unknown	Resistant
