variety	Yield Potential	Quality potential at high altitude	Optimal Altitude	Coffee leaf rust	Nematode	Coffee Berry Disease
Bourbon Mayaguez 71	Medium	Good	Medium, High	Susceptible	Unknown	Susceptible
Nemaya	Not applicable	Not applicable	Not applicable	Not applicable	Resistant	Unknown
Nayarita	High	Very Good	High	Susceptible	Susceptible	Tolerant
Costa Rica 95	High	Low	Low, Medium	Susceptible	Susceptible	Susceptible
IHCAFE 90	High	Very Low	Low, Medium	Susceptible	Susceptible	Susceptible
SL14	High	Good	Medium, High	Susceptible	Susceptible	Susceptible
SL34	High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Pacas	Good	Good	High	Susceptible	Susceptible	Susceptible
Parainema	Good	Good	Low, Medium	Resistant	Resistant	Tolerant
Starmaya	High	Very Good	Medium	Resistant	Unknown	Unknown
Typica	Low	Very Good	High	Susceptible	Susceptible	Susceptible
Anacafe 14	High	Good	Medium, High	Resistant	Susceptible	Susceptible
Nyasaland	Good	Good	Medium, High	Susceptible	Unknown	Susceptible
IAPAR 59	Good	Low	Low, Medium	Resistant	Resistant	Susceptible
Maragogipe	Low	Very Good	High	Susceptible	Susceptible	Susceptible
Centroamericano	Very High	Very Good	Low, Medium, High	Resistant	Susceptible	Tolerant
Esperanza	Very High	Very Good	Low, Medium, High	Tolerant	Tolerant	Tolerant
Caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Batian	High	Very Good	Low	Tolerant	Susceptible	Resistant
T5296	Good	Good	Low, Medium	Resistant	Unknown	Tolerant
K7	High	Good	Low, Medium	Tolerant	Susceptible	Tolerant
RAB C15	Very High	Very Good	Medium, High	Resistant	Unknown	Resistant
Pacamara	Good	Exceptional	High	Susceptible	Susceptible	Susceptible
Catimor 129	Very High	Good	High	Resistant	Susceptible	Resistant
Pache	Medium	Good	High	Susceptible	Susceptible	Susceptible
SL28	Very High	Exceptional	Medium, High	Susceptible	Susceptible	Susceptible
Ruiru 11	Very High	Good	Low, Medium, High	Tolerant	Susceptible	Resistant
Tekisic	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Obata	High	Good	Low, Medium	Resistant	Unknown	Unknown
T5175	High	Very Low	Low, Medium	Resistant	Susceptible	Susceptible
Jackson 2/1257	High	Good	Medium, High	Susceptible	Unknown	Susceptible
KP423	High	Low	Medium	Tolerant	Susceptible	Susceptible
Oro Azteca	High	Good	Low, Medium	Resistant	Susceptible	Susceptible
Caripe	Medium	Very Good	Medium, High	Susceptible	Susceptible	Susceptible
H3	High	Very Good	High	Susceptible	Susceptible	Susceptible
Harar Rwanda	High	Very Good	Medium, High	Susceptible	Unknown	Susceptible
Pop3303/21	High	Good	Medium, High	Resistant	Unknown	Tolerant
Geisha	Medium	Exceptional	High	Tolerant	Susceptible	Susceptible
Marsellesa	High	Good	Low, Medium	Resistant	Susceptible	Tolerant
Monte Claro	High	Very Good	Medium	Tolerant	Tolerant	Susceptible
T8667	High	Low	Low, Medium	Resistant	Susceptible	Susceptible
Venecia	Good	Good	Medium, High	Susceptible	Susceptible	Susceptible
Bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Limani	Good	Good	Low, Medium	Resistant	Unknown	Unknown
Fronton	Good	Good	Low, Medium	Resistant	Unknown	Unknown
Lempira	High	Low	Low, Medium	Susceptible	Susceptible	Susceptible
Villa Sarchi	Good	Good	High	Susceptible	Susceptible	Susceptible
Catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Casiopea	High	Exceptional	High	Susceptible	Susceptible	Susceptible
Evaluna	High	Very Good	High	Susceptible	Susceptible	Tolerant
Catisic	High	Very Low	Low, Medium	Resistant	Susceptible	Susceptible
Java	Medium	Very Good	High	Tolerant	Susceptible	Tolerant
Mundo Novo	High	Good	High	Susceptible	Susceptible	Susceptible
Milenio	Very High	Very Good	Medium, High	Resistant	Susceptible	Tolerant
Bourbon Mayaguez 139	High	Very Good	High	Susceptible	Unknown	Susceptible
Mundo Maya	High	Very Good	Medium, High	Resistant	Resistant	Tolerant
Mibirizi	Good	Exceptional	High	Susceptible	Unknown	Susceptible
Cuscatleco	Good	Good	Low, Medium	Resistant	Resistant	Unknown
Heirloom	high	Good	Medium, High	Tolerant	Tolerant	Tolerant
